"-- Not Selected --","-- Not Selected --"
"Empty target account response.","Empty target account response."
"Live","Live"
"Test","Test"
"Please, enter the Partner API Key.","Please, enter the Partner API Key."
"Company name","Company name"
"Email","Email"
"Holder","Holder"
"Iban","Iban"
"Interest Free Status","Interest Free Status"
"Interest Free Max Duration","Interest Free Max Duration"
"Status","Status"
"Currency","Currency"
"Minimal payback amount","Minimal payback amount"
"Payback rate","Payback rate"
"Financing limit","Financing limit"
"Prepayment limit","Prepayment limit"
"Total limit","Total limit"
"Interest nominal","Interest nominal"
"Interest effective","Interest effective"
"Interest Free Cashpresso","Interest Free Cashpresso"
"Catalog/Search and Product","Catalog/Search and Product"
"Product","Product"
"Catalog/Search","Catalog/Search"
"Do not use widget","Do not use widget"
"Product level integration","Product level integration"
"Static Label integration","Static Label integration"
"Cashpresso","Cashpresso"
"Enabled","Enabled"
"API KEY","API KEY"
"Secret Key","Secret Key"
"Information","Information"
"Target account","Target account"
"Mode","Mode"
"Title","Title"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Instructions","Instructions"
"Product label status","Product label status"
"Product label integration","Product label integration"
"<![CDATA[
Product level integration is recommended. Static Label Version has several disadvantages:
    - No returning cashpresso customer detection
    - No indication for successful risk check
    - Server side calculation of instalment pricing necessary]]]>","<![CDATA[
Product level integration is recommended. Static Label Version has several disadvantages:
    - No returning cashpresso customer detection
    - No indication for successful risk check
    - Server side calculation of instalment pricing necessary]]]>"
"Show checkout button","Show checkout button"
"<![CDATA[Adds product and redirects to checkout page from the CS popup on product page. Works only if ""system/configuration/sales/checkout/shopping cart/After Adding a Product Redirect to Shopping Cart"" is NO]]>","<![CDATA[Adds product and redirects to checkout page from the CS popup on product page. Works only if ""system/configuration/sales/checkout/shopping cart/After Adding a Product Redirect to Shopping Cart"" is NO]]>"
"Place to show","Place to show"
"Template","Template"
"An example: or from € {{price}} / month","An example: or from € {{price}} / month"
"The timeout for the order","The timeout for the order"
"Sign contract text","Sign contract text"
"Description","Description"
"In hours","In hours"
"We will display this description during the signup and payment process.","We will display this description during the signup and payment process."
"Write log","Write log"
"Sort Order","Sort Order"
"It works always on checkout page for any choice.","It works always on checkout page for any choice."
"Last Update","Last Update"
"Cashpresso: API key is missing","API key is missing"
"Cashpresso: Secret key is missing","Secret key is missing"
"You have ordered but not yet paid","Noch ein Schritt zum erfolgreichen Einkauf"
"Currency %s for the store ""%s"" could not be used for Cashpresso payment. Use only EUR. Please change the currency settings for your store.","Currency %s for the store ""%s"" could not be used for Cashpresso payment. Use only EUR. Please change the currency settings for your store."
"Currency","Currency"
"Cashpresso: Multiple validation errors - check errors element for details","Cashpresso: Multiple validation errors - check errors element for details"
"Cashpresso: Input is invalid or malformed","Cashpresso: Input is invalid or malformed"
"Cashpresso: The amount or necessary prepayment is too high","Cashpresso: The amount or necessary prepayment is too high"
"Cashpresso: Zip address validation failed","Cashpresso: Zip address validation failed"
"Cashpresso: Input cannot be parsed - format error","Cashpresso: Input cannot be parsed - format error"
"Cashpresso: Verification failed (e.g. of TAN code)","Cashpresso: Verification failed (e.g. of TAN code)"
"Cashpresso: Verification failed due to timeout (e.g. TAN timeout)","Cashpresso: Verification failed due to timeout (e.g. TAN timeout)"
"Cashpresso: Operation is not allowed in current state","Cashpresso: Operation is not allowed in current state"
"Cashpresso: Customer with phone number already exists","Cashpresso: Customer with phone number already exists"
"Cashpresso: Customer with iban already exists","Cashpresso: Customer with iban already exists"
"Cashpresso: Customer with email already exists","Cashpresso: Customer with email already exists"
"Cashpresso: Customer with this identity (name, birthdate, etc..) already exists","Cashpresso: Customer with this identity (name, birthdate, etc..) already exists"
"Cashpresso: Unexpected error - please contact your account manager","Cashpresso: Unexpected error - please contact your account manager"
"Currency mismatch","Currency mismatch"
"Cashpresso account currency (%s) does not match to store currency (%s).","Cashpresso account currency (%s) does not match to store currency (%s)."
"Please login or register to continue with cashpresso.","Please login or register to continue with cashpresso."
